/home/simba/.virtualenvs/QIP/lib/python3.12/site-packages/cotengra/hyperoptimizers/hyper.py:36: UserWarning: Couldn't import `kahypar` - skipping from default hyper optimizer and using basic `labels` method instead. `kahypar` is highly recommended for the best quality contraction paths.
  warnings.warn(
  p=0.01   seed=0 X@1: L= 7 maxS1=4.6569 (bond 4, S0=5.55, Sinf=3.41)
  p=0.01   seed=0 X@1: L= 8 maxS1=4.9540 (bond 4, S0=5.55, Sinf=3.80)
  p=0.01   seed=0 X@1: L= 9 maxS1=5.0058 (bond 4, S0=5.55, Sinf=3.97)
  p=0.01   seed=0 X@1: L=10 maxS1=5.0320 (bond 4, S0=5.55, Sinf=4.12)
  p=0.01   seed=1 X@3: L= 1 maxS1=1.1929 (bond 4, S0=1.39, Sinf=0.64)
  p=0.01   seed=1 X@3: L= 2 maxS1=2.1759 (bond 2, S0=2.77, Sinf=1.70)
  p=0.01   seed=1 X@3: L= 3 maxS1=3.0961 (bond 4, S0=4.16, Sinf=1.85)
  p=0.01   seed=1 X@3: L= 4 maxS1=3.9381 (bond 4, S0=5.55, Sinf=2.75)
  p=0.01   seed=1 X@3: L= 5 maxS1=4.6318 (bond 4, S0=5.55, Sinf=3.40)
  p=0.01   seed=1 X@3: L= 6 maxS1=4.8827 (bond 4, S0=5.55, Sinf=3.76)
  p=0.01   seed=1 X@3: L= 7 maxS1=4.9792 (bond 4, S0=5.55, Sinf=4.02)
  p=0.01   seed=1 X@3: L= 8 maxS1=5.0082 (bond 4, S0=5.54, Sinf=4.08)
  p=0.01   seed=1 X@3: L= 9 maxS1=5.0212 (bond 4, S0=5.55, Sinf=4.11)
  p=0.01   seed=1 X@3: L=10 maxS1=5.0347 (bond 4, S0=5.55, Sinf=4.17)
  p=0.01   seed=1 Z@3: L= 1 maxS1=1.3561 (bond 4, S0=1.39, Sinf=1.12)
  p=0.01   seed=1 Z@3: L= 2 maxS1=2.1131 (bond 4, S0=2.77, Sinf=1.37)
  p=0.01   seed=1 Z@3: L= 3 maxS1=3.2572 (bond 4, S0=4.16, Sinf=2.29)
  p=0.01   seed=1 Z@3: L= 4 maxS1=4.0616 (bond 4, S0=5.55, Sinf=2.75)
  p=0.01   seed=1 Z@3: L= 5 maxS1=4.6748 (bond 4, S0=5.55, Sinf=3.36)
  p=0.01   seed=1 Z@3: L= 6 maxS1=4.9092 (bond 4, S0=5.55, Sinf=3.79)
  p=0.01   seed=1 Z@3: L= 7 maxS1=4.9983 (bond 4, S0=5.55, Sinf=4.04)
  p=0.01   seed=1 Z@3: L= 8 maxS1=5.0179 (bond 4, S0=5.55, Sinf=4.10)
  p=0.01   seed=1 Z@3: L= 9 maxS1=5.0278 (bond 4, S0=5.55, Sinf=4.11)
  p=0.01   seed=1 Z@3: L=10 maxS1=5.0428 (bond 4, S0=5.55, Sinf=4.16)
  p=0.01   seed=1 X@1: L= 1 maxS1=1.2296 (bond 1, S0=1.39, Sinf=0.78)
  p=0.01   seed=1 X@1: L= 2 maxS1=2.0925 (bond 2, S0=2.77, Sinf=1.26)
  p=0.01   seed=1 X@1: L= 3 maxS1=2.2507 (bond 2, S0=2.77, Sinf=1.39)
  p=0.01   seed=1 X@1: L= 4 maxS1=2.9864 (bond 3, S0=4.16, Sinf=2.09)
  p=0.01   seed=1 X@1: L= 5 maxS1=3.9530 (bond 4, S0=5.55, Sinf=2.22)
  p=0.01   seed=1 X@1: L= 6 maxS1=4.5166 (bond 4, S0=5.55, Sinf=2.72)
  p=0.01   seed=1 X@1: L= 7 maxS1=4.7892 (bond 4, S0=5.55, Sinf=3.41)
  p=0.01   seed=1 X@1: L= 8 maxS1=4.9091 (bond 4, S0=5.55, Sinf=3.73)
  p=0.01   seed=1 X@1: L= 9 maxS1=4.9538 (bond 4, S0=5.55, Sinf=3.89)
