t,gamma,pqc_mean,pqc_sem,n_pqc,pqc_min_train,trott1_mean,trott1_sem,n_trott1,trott2_mean,trott2_sem,n_trott2,ratio_trott1_over_pqc,ratio_trott2_over_pqc
0.4,0.4,0.03020216611388996,0.0012559151692160856,30,0.017533453204563437,0.1759441774364887,0.002666725672215937,300,0.0031105503139447445,0.0015402066101964102,300,5.825548299185471,0.10299096767480542
0.4,0.5,0.028231016071559333,0.0009255104396629186,30,0.017920699192783295,0.14596441047526768,0.002956094633560809,300,0.008127216029121713,0.002847055419362927,300,5.170356253040288,0.2878825193015027
0.6,0.0,0.1192697480626159,0.005193214586613925,30,0.02575078369155255,0.6896697030807485,0.006333765350023487,300,0.10215178040743426,0.0011323215345732205,300,5.782436152365109,0.8564768691705896
0.6,0.02,0.12350260837660332,0.005968865097139352,30,0.028745313146803668,0.6414652316333533,0.005265675385996599,300,0.0027042084596347743,0.00033127944995831445,300,5.193940760160287,0.02189596232161091
0.6,0.04,0.10764091607781975,0.00491101770091714,30,0.031165753557606608,0.59436774206581,0.004618938028564916,300,0.0015510013471940632,0.00030367965075973083,300,5.521764062618231,0.014409031469713207
0.6,0.06,0.10926996825520746,0.002778436913809848,30,0.028153673782264296,0.5499799761553754,0.0044515012922347165,300,0.0013257914796594697,0.0004067481360891798,300,5.033221707092105,0.012133173467782046
0.6,0.08,0.08927900290196114,0.003392075665868071,30,0.028151102400018224,0.5161319856621327,0.0036042496388426688,300,0.002879481398793616,0.0008552844523557719,300,5.78111279120026,0.03225261601493943
0.6,0.1,0.14453221506247332,0.008371162692674374,30,0.029281722374527704,0.48719688195261285,0.003042585696598895,300,0.001517314705365242,0.0006756555821301549,300,3.3708532159562106,0.010498107323058671
0.6,0.2,0.06958368533363582,0.0028280447308523258,30,0.027497318744799246,0.3484303348276807,0.0034968477003357447,300,0.003958203256818332,0.0017667901732137438,300,5.007356726753508,0.05688407042311382
0.6,0.3,0.05624665559718603,0.0015253748648120682,30,0.02850264138371559,0.2674870902167742,0.004300090595603013,300,0.004915594061201134,0.0023753664363447614,300,4.7556087980128074,0.0873935349401833
0.6,0.4,0.03850172109857148,0.0013149283855043966,30,0.03002535370848057,0.19745614882622084,0.00445203561209444,300,0.0051674406945497265,0.002595388148511831,300,5.128501874518721,0.13421323896976264
0.6,0.5,0.03539082791381502,0.0012741292055358268,30,0.03096261108749438,0.1518500578418053,0.00476978180066835,300,0.007139243376417612,0.003114527684665135,300,4.290661360383991,0.20172580855704608
0.8,0.0,0.29940108333399046,0.011239405966907173,30,0.067257083454982,0.8817461065849015,0.006988240994375716,300,0.32751353407777695,0.005127684948664665,300,2.9450331200080813,1.0938956213208695
0.8,0.02,0.26128483320008883,0.011892584334775008,30,0.06688813647661174,0.8054434949150704,0.004863130285516495,300,0.2966211559351973,0.004791874628466204,300,3.0826262858444267,1.1352406196040026
0.8,0.04,0.226572763372702,0.010823999567201207,30,0.06676069261606911,0.7220217771827683,0.0048589349980035345,300,0.27305801012682396,0.0035350914161654395,300,3.1867103814021767,1.2051669673889964
0.8,0.06,0.20092395005082628,0.00979639223966111,30,0.06549817001061949,0.6695826403889386,0.003343781469153773,300,0.2479055049803083,0.003263502590445169,300,3.3325178019820885,1.2338275497649605
0.8,0.08,0.20553257293533286,0.004174254726013556,30,0.06483490866936352,0.6088815470170124,0.0032584942904690596,300,0.22442506106956125,0.002863914905616321,300,2.9624576694643237,1.0919196790290393
0.8,0.1,0.1853257644908199,0.004551009276079217,30,0.0643762198101559,0.5549295688725114,0.0037599403562414866,300,0.20385062306254445,0.0025185035312165344,300,2.994346578832,1.099958355076108
0.8,0.2,0.11417383524926185,0.003715261993135814,30,0.06303798978754965,0.3676567462179962,0.0049280969215688645,300,0.1288350107834953,0.001528543195066788,300,3.2201488669916007,1.1284109927832895
0.8,0.3,0.09140166211976403,0.0033792502163514163,30,0.06191869818142125,0.250818886622304,0.005861043520034066,300,0.08733846121827132,0.0016710624918398493,300,2.7441392290400017,0.9555456563123691
0.8,0.4,0.058199516552476224,0.003951991546644291,30,0.06087039218367774,0.17771274850673738,0.0061911571150205826,300,0.05645175868467722,0.0013071403386891876,300,3.053509015775084,0.9699695466332076
0.8,0.5,0.052341511081594065,0.004510834979175088,30,0.060018359449221584,0.12341281914630121,0.005788848081450113,300,0.04042197201466473,0.0012267877027218447,300,2.357838293088551,0.7722736921303586
1.0,0.0,0.5638708092470174,0.035120272080258544,30,0.13634286652662622,1.0173687871999653,0.007648949591726867,300,0.5798211226817356,0.009190011410509433,300,1.8042586537837286,1.028287177085861
1.0,0.02,0.4900574253047454,0.023229793592399038,30,0.14452584819861033,0.9083904000438648,0.0055028803764259815,300,0.5238753597457271,0.005850019737960924,300,1.8536407227764713,1.0690081053663287
1.0,0.04,0.4285888596836919,0.01286329296421421,30,0.13033944629561603,0.811217563733498,0.005033066011899516,300,0.44503748596208104,0.005971300158719209,300,1.892763998420758,1.0383785670269838
1.0,0.06,0.38861408507524414,0.009506096018456598,30,0.12822484087500816,0.7255641108740986,0.003842063204608471,300,0.4015601747291201,0.003927960794079001,300,1.8670556182584415,1.0333134854115473
1.0,0.08,0.31948559270403776,0.017724095922191593,30,0.13552627256539498,0.651297516943392,0.004648665206664167,300,0.36164273359277127,0.002953855735590425,300,2.0385818071825708,1.131953183027526
1.0,0.1,0.3004686473387555,0.010563775429087487,30,0.12412435943322937,0.5803841054250053,0.004974658180283177,300,0.3189711040667859,0.003128979982894001,300,1.9315962266461246,1.0615786601760493
1.0,0.2,0.18028157473025008,0.006689106585212383,30,0.11534318730433823,0.34332452141431974,0.006976351837012368,300,0.17562221751884588,0.002264752393047471,300,1.9043794238430962,0.974155111422918
1.0,0.3,0.10904128473619239,0.007379171738574024,30,0.10931661228932332,0.22021974838796088,0.007478154812963616,300,0.10061255190212064,0.0022351920447580545,300,2.0195997224422535,0.9227014533581139
1.0,0.4,0.08030002032030162,0.013961857720640672,30,0.15243472382243722,0.14858199628001179,0.006856222163420139,300,0.07138294122996379,0.0023758476737485486,300,1.850335724540869,0.8889529659548119
1.0,0.5,0.06525584967101797,0.01245540035534745,30,0.14338468319180755,0.10975899204347253,0.0068011655483060564,300,0.04152024043265787,0.0018563277103682252,300,1.6819793565912253,0.6362684823196505
2.0,0.0,1.1294084984432535,0.01037123171061764,30,1.1308432079779325,0.8099645140371543,0.015547888317127374,300,0.6371428361687616,0.016244316390091003,300,0.7171581541608618,0.5641385176815849
2.0,0.02,0.3701105279440623,0.018905920908409115,30,0.9292884302104721,0.659064241351683,0.015022118424094545,300,0.5198747406328142,0.01532149468804635,300,1.7807227614214003,1.4046472644825359
2.0,0.04,0.34613820166653014,0.02721129691462634,30,0.8901293248293711,0.5296837837597401,0.01483345611614548,300,0.3967799184166062,0.013841156327627216,300,1.530266758218262,1.1463049051108907
2.0,0.06,0.2459728968462726,0.017325578181228384,30,0.8502486452598845,0.468774434779956,0.01633744144833718,300,0.32890713136327693,0.013212074535229197,300,1.9057971052515157,1.3371681822686192
2.0,0.08,0.21597912889062945,0.027995573181854878,30,0.8054376456072699,0.38165075635001605,0.015929441250674466,300,0.27436050975646,0.012943498151400785,300,1.7670723940334148,1.2703102895437388
2.0,0.1,0.18535774582261588,0.021749657955140625,30,0.7705327468699813,0.34470706867356626,0.015178256355960165,300,0.2131383268324402,0.01103381110844747,300,1.8596852650735454,1.149875479368474
2.0,0.2,0.08299297811012882,0.015660995191383874,30,0.6140754546475656,0.17775740993604572,0.013350568854337018,300,0.10830379027501576,0.009358005064895269,300,2.1418367431057574,1.304975345399708
2.0,0.3,0.02812241608994723,0.010183895908652586,30,0.4992734935455869,0.12114699760073014,0.011690401512111323,300,0.054176667392687866,0.006546928911841351,300,4.30784457541811,1.926458495579052
2.0,0.4,0.048548245095545846,0.022272724842606076,30,0.4098642086433271,0.08970112866884393,0.009524568782555906,300,0.037394484760919694,0.0057217260173803575,300,1.8476698486692311,0.7702540985225134
2.0,0.5,0.008202618824254918,0.004707269739961568,30,0.3410695792243584,0.05572391035541853,0.0074526018036068006,300,0.02311512349598512,0.003910284086176913,300,6.793429214416799,2.8180175126063807
3.0,0.0,1.02733824058121,0.014823896956451307,30,1.2100244427814442,0.6483228814204461,0.015614004570549093,300,0.39480560355205974,0.020610929893098942,300,0.6310705236219589,0.38429953053115307
3.0,0.02,0.1245423573346263,0.032526917179859755,30,0.6875058555180625,0.4741622624497179,0.015631229063114302,300,0.28372026025330643,0.0177159263431103,300,3.8072369320561057,2.2781025373640023
3.0,0.04,0.06434624710310607,0.010159413854088611,30,0.6306777836031043,0.37233533496616555,0.01611964111345256,300,0.20479792966727484,0.015017532091606169,300,5.786434356762858,3.182748627734483
3.0,0.06,0.09958287640800445,0.0313721974377997,30,0.5805034636276963,0.31282991710741154,0.015064822520611941,300,0.16116541741271145,0.014018964423098529,300,3.141402702867361,1.6184049228744413
